Comment,Description,Designator,Footprint,Quantity,Manufacturer,Manufacturer Part Number,Part Description,Part Number

"SMD Pad","Through Hole Pad","B13","C100","1","","","1mm Diameter SMD Pad","SMD_PAD_D1MM"
"SR60  battery","SR60 6.8x2.15mm Battery 1.5V, 15mAh","BAT1","SR60","1","","","",""
"Value","Battery Holder whit 2 Pin","BH1","BATH_KEYSTONE_2998","1","KEYSTONE","2998","SMD Battery Holder for MC621, V364, SC621, DR13H, DR77, V13AT, 377 Button Cells","BATH_KEYSTONE_2998"
"22uF","Non-polarised capacitor","C1A, C1B, C5A, C5B, C7A, C7B, C46, C47, C71, C79, C81, C85, C87, C116, C117, C119, C122, C123, C136, C137, C139, C142, C154, C155, C156, C157, C158, C161, C162, C163, C164, C165, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177, C423, C454, C455a, C455b, C456, C471, C472, C474, C529, C530, C531, C534, C540, C541, C542, C544, C545, C546, C573","CAPC3216X180N","61","GENERIC","CC1206_22UF_10V_10%_X7R","SMD Multilayer Chip Ceramic Capacitor","CC1206_22UF_10V_10%_X7R"
"1uF","Non-polarised capacitor","C2A, C2B, C3A, C3B, C8A, C8B, C9A, C9B, C13A, C13B, C14A, C14B, C16A, C16B, C17A, C17B, C32, C44, C49, C51, C62, C68, C72, C90, C91, C92, C108, C126, C127, C130, C143, C144, C145, C153, C209, C210, C306, C390, C426, C469, C475, C526, C532, C535, C537, C543, C816, C817, C846","CAPC1608X87N","49","GENERIC","CC0603_1uF_16V_10%_X7R","SMD Multilayer Chip Ceramic Capacitor","CC0603_1UF_16V_10%_X7R"
"100nF","Non-polarised capacitor","C4A, C4B, C6A, C6B, C10A, C10B, C11A, C11B, C15A, C15B, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C38, C39, C52, C56, C57, C58, C59, C61, C63, C65, C67, C69, C70, C73, C74, C75, C76, C78, C80, C82, C83, C84, C88, C89, C93, C94, C95, C96, C98, C99, C100, C101, C102, C103, C104, C105, C109, C110, C111, C112, C114, C118, C120, C121, C124, C125, C128, C129, C131, C132, C134, C138, C140, C141, C178, C179, C180, C181, C182, C183, C184, C185, C186, C187, C188, C189, C190, C191, C192, C193, C194, C195, C196, C197, C198, C199, C200, C201, C202, C203, C204, C205, C206, C207, C212, C213, C214, C215, C216, C217, C218, C255, C256, C257, C258, C262, C263, C273, C274, C281, C282, C289, C290, C297, C298, C299, C300, C301, C302, C303, C304, C305, C307, C308, C309, C310, C311, C312, C313, C314, C315, C316, C317, C318, C319, C320, C321, C322, C323, C324, C325, C326, C327, C328, C329, C330, C331, C332, C333, C334, C335, C336, C337, C338, C339, C340, C341, C342, C343, C344, C345, C346, C347, C348, C349, C350, C351, C352, C353, C354, C355, C356, C357, C358, C359, C360, C361, C362, C363, C364, C365, C366, C367, C368, C369, C370, C371, C372, C373, C374, C375, C376, C377, C378, C379, C380, C381, C382, C383, C384, C385, C386, C387, C388, C389, C391, C392, C393, C394, C395, C396, C398, C400, C401, C402, C403, C404, C405, C407, C408, C409, C411, C412, C413, C415, C416, C417, C418, C419, C421, C424, C427, C434, C436, C438, C439, C440, C442, C444, C452, C457, C459, C461, C462, C463, C468, C476, C479, C481, C483, C485, C487, C489, C491, C493, C495, C496, C498, C499, C500, C503, C507, C508, C509, C510, C511, C513, C515, C516, C517, C518, C520, C521, C524, C548, C567, C568, C569, C574, C595, C604, C613, C618, C619, C620, C621, C623, C624, C626, C627, C628, C629, C630, C631, C632, C633, C726, C727, C728, C729, C734, C735, C736, C737, C749, C750, C754, C755, C756, C757, C762, C763, C764, C765, C766, C767, C840, C841, C842, C847, C849, C851, C853, C854, C855, C888","CAPC0603X33N","337","GENERIC","CC0201_100NF_6.3V_10%_X5R","SMD Multilayer Chip Ceramic Capacitor","CC0201_100NF_6.3V_10%_X5R"
"10uF","Non-polarised capacitor","C12A, C12B, C34, C40, C42, C43, C45, C48, C54, C66, C97, C146, C147, C148, C149, C150, C151, C152, C167, C466, C467, C506, C525, C533, C536","CAPC2012X135N","25","GENERIC","CC0805_10UF_16V_10%_X5R","SMD Multilayer Chip Ceramic Capacitor","CC0805_10UF_16V_10%_X5R"
"22pF","Non-polarised capacitor","C18, C19","CAPC1005X55N","2","GENERIC","CC0402_22PF_50V_5%_NP0","SMD Multilayer Chip Ceramic Capacitor","CC0402_22PF_50V_5%_NP0"
"100nF","Non-polarised capacitor","C31, C211, C410, C414, C420, C428, C429, C431, C432, C433, C616, C758, C759","CAPC1005X55N","13","GENERIC","CC0402_100NF_16V_10%_X5R","SMD Multilayer Chip Ceramic Capacitor","CC0402_100NF_16V_10%_X5R"
"150pF","Non-polarised capacitor","C33, C53","CAPC1608X87N","2","GENERIC","CC0603_150PF_50V_5%_NP0","SMD Multilayer Chip Ceramic Capacitor","CC0603_150PF_50V_5%_NP0"
"10nF","Non-polarised capacitor","C35, C60, C406, C547","CAPC1005X55N","4","GENERIC","CC0402_10NF_16V_10%_X7R","SMD Multilayer Chip Ceramic Capacitor","CC0402_10NF_16V_10%_X7R"
"DNP","Non-polarised capacitor","C36, C37","CAPC1005X55N","2","GENERIC","CC0402_15PF_50V_5%_NP0","SMD Multilayer Chip Ceramic Capacitor","CC0402_15PF_50V_5%_NP0"
"150uF","Polarised capacitor","C41, C50, C55, C64, C86, C115, C135, C230, C231, C473, C528, C539","CAPMP7343X200N","12","MURATA","ECASD40G157M016K00","ESR 0R016 Polymer Aluminum Electrolytic Capacitor","CAEM7343-20_150UF_4V_20%_LESR0016"
"100nF","Non-polarised capacitor","C77, C113, C133, C159, C470, C527, C538","CAPC1005X55N","7","GENERIC","CC0402_100NF_16V_10%_X7R","SMD Multilayer Chip Ceramic Capacitor","CC0402_100NF_16V_10%_X7R"
"4.7uF","Non-polarised capacitor","C106, C107, C237, C238, C267, C268, C272, C446, C478, C576, C577, C578, C579, C580, C581, C582, C583, C585, C586, C588, C589, C591, C594, C596, C597, C598, C605, C606, C607, C608, C609, C610, C611, C636, C637, C644, C645, C646, C652, C653, C654, C660, C661, C662, C668, C669, C670, C680, C681, C682, C688, C689, C690, C696, C697, C698, C704, C705, C706","CAPC1608X87N","59","GENERIC","CC0603_4.7uF_6.3V_10%_X5R","SMD Multilayer Chip Ceramic Capacitor","CC0603_4.7UF_6.3V_10%_X5R"
"22nF","Non-polarised capacitor","C160","CAPC1608X87N","1","GENERIC","CC0603_22NF_50V_10%_X7R","SMD Multilayer Chip Ceramic Capacitor","CC0603_22NF_50V_10%_X7R"
"1nF","Non-polarised capacitor","C166, C634, C635","CAPC1005X55N","3","GENERIC","CC0402_1NF_50V_10%_X7R","SMD Multilayer Chip Ceramic Capacitor","CC0402_1NF_50V_10%_X7R"
"15pF","Non-polarised capacitor","C208","CAPC1005X55N","1","GENERIC","CC0402_15PF_50V_5%_NP0","SMD Multilayer Chip Ceramic Capacitor","CC0402_15PF_50V_5%_NP0"
"100uF","Non-polarised capacitor","C226, C447, C587, C592, C593, C602, C612, C638, C676, C677, C678, C679, C712, C713, C714, C715","CAPC3225X270N","16","GENERIC","CC1210_100UF_6.3V_20%_X5R","SMD Multilayer Chip Ceramic Capacitor","CC1210_100UF_6.3V_20%_X5R"
"220nF","Non-polarised capacitor","C229, C232, C233, C234, C235, C236, C239, C240, C241, C242, C243, C244, C245, C246, C247, C248, C249, C250, C264, C265, C266, C269, C270, C271, C275, C276, C277, C278, C279, C280, C283, C284, C285, C286, C287, C288, C291, C292, C293, C294, C295, C296, C549, C550, C551, C552, C553, C554, C555, C556, C557, C558, C559, C560, C561, C562, C563, C564, C565, C566, C738, C739, C740, C741, C742, C743, C744, C745, C746, C747, C748","CAPC0603X33N","71","GENERIC","CC0201_220NF_6.3V_20%_X5R","SMD Multilayer Chip Ceramic Capacitor","CC0201_220NF_6.3V_20%_X5R"
"22nF","Non-polarised capacitor","C251, C252, C253, C254, C259, C599, C600, C601, C722, C723, C724, C725, C730, C731, C732, C733","CAPC0603X33N","16","GENERIC","CC0201_22NF_6.3V_10%_X5R","SMD Multilayer Chip Ceramic Capacitor","CC0201_22NF_6.3V_10%_X5R"
"470nF","Non-polarised capacitor","C260, C261, C448, C449, C450, C451, C465, C603, C614, C615, C639, C640, C641, C642, C643, C647, C648, C649, C650, C651, C655, C656, C657, C658, C659, C663, C664, C665, C666, C667, C671, C672, C673, C674, C675, C683, C684, C685, C686, C687, C691, C692, C693, C694, C695, C699, C700, C701, C702, C703, C707, C708, C709, C710, C711, C716, C717, C718, C719, C720, C721","CAPC0603X33N","61","GENERIC","CC0201_470NF_4V_20%_X5R","SMD Multilayer Chip Ceramic Capacitor","CC0201_470NF_4V_20%_X5R"
"47uF","Non-polarised capacitor","C430","CAPC3216X180N","1","GENERIC","CC1206_47UF_25V_20%_X5R","SMD Multilayer Chip Ceramic Capacitor","CC1206_47UF_25V_20%_X5R"
"10uF","Non-polarised capacitor","C435, C441, C458, C477, C480, C482, C484, C486, C488, C490, C492, C494, C497, C501, C505, C523, C570, C617, C622, C848, C850, C852","CAPC1608X87N","22","GENERIC","CC0603_10uF_6.3V_20%_X5R","SMD Multilayer Chip Ceramic Capacitor","CC0603_10UF_6.3V_20%_X5R"
"10nF","Non-polarised capacitor","C437, C443, C445, C464","CAPC0603X33N","4","GENERIC","CC0201_10NF_10V_10%_X5R","SMD Multilayer Chip Ceramic Capacitor","CC0201_10NF_10V_10%_X5R"
"33pF","Non-polarised capacitor","C453","CAPC1005X55N","1","GENERIC","CC0402_33PF_50V_5%_C0G","SMD Multilayer Chip Ceramic Capacitor","CC0402_33PF_50V_5%_C0G"
"2.2uF","Non-polarised capacitor","C460","CAPC1005X55N","1","GENERIC","CC0402_2.2UF_6.3V_10%_X5R","SMD Multilayer Chip Ceramic Capacitor","CC0402_2.2UF_6.3V_10%_X5R"
"22uF","Non-polarised capacitor","C502, C504","CAPC1709X100N","2","GENERIC","CC0603_22UF_6.3V_20%_X5R","SMD Multilayer Chip Ceramic Capacitor","CC0603_22UF_6.3V_20%_X5R"
"1uF","Non-polarised capacitor","C519","CAPC1005X55N","1","GENERIC","CC0402_1UF_16V_10%_X5R","SMD Multilayer Chip Ceramic Capacitor","CC0402_1UF_16V_10%_X5R"
"22uF","Polarised capacitor","C522","CAPMP3216X180N","1","GENERIC","CTE3216-18_22UF_6.3V_10%_LESR0900","Low ESR 0R9 Solid Tantalum Chip Capacitor","CTE3216-18_22UF_6.3V_10%_LESR0900"
"22pF","Non-polarised capacitor","C571, C572","CAPC1005X55N","2","GENERIC","CC0402_22PF_50V_5%_C0G","SMD Multilayer Chip Ceramic Capacitor","CC0402_22PF_50V_5%_C0G"
"430pF","Non-polarised capacitor","C584","CAPC1608X100N","1","VISHAY VITRAMON","VJ0603D431KLX","Surface Mount Multilayer Ceramic Chip Capacitors for High Frequency","CC0603_430PF_25V_10%_C0G_VISHAY_VJ0603D431KLX"
"PESD3V3S1UB","ESD protection diode","D1, D6, D16, D27","SODFL1608X65N","4","NXP SEMICONDUCTORS","PESD3V3S1UB","ESD protection diode (23kV)","PESD3V3S1UB"
"SS16","Schottky Diode","D2, D28","DIOM5127X229N","2","VISHAY GENERAL SEMICONDUCTOR","SS16","Surface Mount Schottky Barrier Rectifier","SS16"
"BAT165","Schottky Diode","D3, D4, D5, D8, D14, D15, D22, D23, D24, D25, D29, D30, D31, D32, D33","SOD2512X110N","15","INFINEON","BAT165","Medium Power AF Schottky Diode","BAT165"
"SK26A","Schottky Diode","D7","DIOM5126X265N","1","TAIWAN SEMICONDUCTOR","SK26A","2A, 60V Surface Mount Schottky Barrier Rectifier","SK26A"
