Altium Designer Pick and Place Locations
C:\Users\PS\Documents\CTI\AFC4\OH\afc\circuit_board\Project Outputs for AMC_FMC_Carrier v4\Pick Place\Pick Place for AMC_FMC_Carrier_v4(LNLS_FOFB).csv

========================================================================================================================
File Design Information:

Date:       27.08.21
Time:       10:51
Revision:   Not in VersionControl
Variant:    LNLS_FOFB
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R563","0","TopLayer","RESC1005X40N","-172.7250","-13.7950","90","Resistor"
"OSC2","10-160MHz","TopLayer","OSC_SILICON-LAB_SI570","-162.0250","-6.0750","0","Any-Rate I2C Programmable XO Oscillator Si570 Serie"
"R562","240","TopLayer","RESC1005X40N","-117.1500","-12.6000","180","Resistor - 1%"
"R561","240","TopLayer","RESC1005X40N","-125.7600","-20.0393","0","Resistor - 1%"
"R560","10k","TopLayer","RESC1005X40N","-120.7500","-14.4750","45","Resistor - 1%"
"R559","10k","TopLayer","RESC1005X40N","-119.2500","-12.9750","225","Resistor - 1%"
"R558","10k","TopLayer","RESC1005X40N","-131.2250","-14.4000","90","Resistor - 1%"
"R557","10k","TopLayer","RESC1005X40N","-131.2250","-16.2500","270","Resistor - 1%"
"R556","100k","TopLayer","RESC1005X40N","-156.3370","30.9750","180","Resistor - 1%"
"C759","100nF","TopLayer","CAPC1005X55N","-123.3100","-20.0393","180","Non-polarised capacitor"
"C758","100nF","TopLayer","CAPC1005X55N","-129.7250","-13.9250","180","Non-polarised capacitor"
"C616","100nF","TopLayer","CAPC1005X55N","-119.7000","-16.1750","135","Non-polarised capacitor"
"R555","0","TopLayer","RESC1005X40N","-163.1250","60.9250","90","Resistor"
"R554","0","TopLayer","RESC1005X40N","-119.4500","-15.0750","315","Resistor"
"R553","0","TopLayer","RESC1005X40N","-118.6500","-14.2500","315","Resistor"
"R550","0","TopLayer","RESC1005X40N","-129.8450","-14.8457","180","Resistor"
"R542","0","TopLayer","RESC1005X40N","-129.8450","-15.7707","180","Resistor"
"C433","100nF","TopLayer","CAPC1005X55N","-167.8772","56.3800","0","Non-polarised capacitor"
"B13","SMD Pad","TopLayer","C100","-99.6500","-20.0000","90","Through Hole Pad"
"T2","BSS138LT1G","TopLayer","SOT95P240X110-3N","-167.3772","59.0300","180","N-CHANNEL MOSFET WITH DIODE"
"T1","BSS138LT1G","TopLayer","SOT95P240X110-3N","-166.7397","53.8750","0","N-CHANNEL MOSFET WITH DIODE"
"R552","0","TopLayer","RESC1005X40N","-160.4726","85.6522","0","Resistor"
"R503","10k","TopLayer","RESC1005X40N","-164.9022","59.0050","270","Resistor - 1%"
"R499","10k","TopLayer","RESC1005X40N","-165.7772","56.3800","0","Resistor - 1%"
"D27","PESD3V3S1UB","TopLayer","SODFL1608X65N","-169.5272","54.0050","270","ESD protection diode"
"R541","10","BottomLayer","RESC1005X40N","-62.6250","-1.9750","0","Resistor - 1%"
"R540","10","BottomLayer","RESC1005X40N","-62.6250","-2.7500","0","Resistor - 1%"
"R523","10","BottomLayer","RESC1005X40N","-58.4000","0.6250","270","Resistor - 1%"
"R521","10","BottomLayer","RESC1005X40N","-59.6250","0.6500","270","Resistor - 1%"
"R519","10","BottomLayer","RESC1005X40N","-57.5500","-3.6750","90","Resistor - 1%"
