Altium Designer Pick and Place Locations
C:\Users\dparker\OneDrive - Imperial College London\Desktop\DUNE-Variant-AMC-FMC-Carrier-AFC\manufacturing\Pick Place\PnP_AFC_v4.0.2_DUNE.csv

========================================================================================================================
File Design Information:

Date:       05/08/26
Time:       15:26
Revision:   ca124e2ca1e83640e976a10fcd212f5c413419b6
Variant:    DUNE
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J22","TSM-102-01-L-SH-P-TR","TopLayer","SAMTEC_TSM-102-01-L-SH-P-TR","-143.0000","44.2200","0",""
"IC66","MCP23016-I/SO","TopLayer","SOIC127P1030X265-28N","-129.7224","-27.3970","270","16-bit I/O I2C I/O Expander"
"C477","22uF","TopLayer","CAPC3216X180N","-102.0000","44.0000","90","Non-polarised capacitor"
"C479","22pF","TopLayer","CAPC1005X55N","-100.5000","37.5000","90","Non-polarised capacitor"
"Y1","ASDMB-100.000MHZ-XY-T","TopLayer","FP-ASDM-ASDMB-MFG","-148.0000","63.5000","0","MEMS Oscillator 100MHz ±10ppm LVCMOS 1.8V~3.3V SMD 2.5x2mm"
"C487","100nF","TopLayer","CAPC0603X33N","-135.7500","16.7500","90","Non-polarised capacitor"
"C486","100nF","TopLayer","CAPC0603X33N","-141.1250","18.3750","0","Non-polarised capacitor"
"C485","100nF","TopLayer","CAPC0603X33N","-135.7500","18.2500","270","Non-polarised capacitor"
"C484","100nF","TopLayer","CAPC0603X33N","-122.2500","-10.2500","90","Non-polarised capacitor"
"C483","100nF","TopLayer","CAPC0603X33N","-121.2500","-9.2500","90","Non-polarised capacitor"
"C482","100nF","TopLayer","CAPC0603X33N","-121.0000","-8.0000","135","Non-polarised capacitor"
"C481","100nF","TopLayer","CAPC0603X33N","-138.1250","12.7500","270","Non-polarised capacitor"
"C480","100nF","TopLayer","CAPC0603X33N","-143.5000","11.7500","0","Non-polarised capacitor"
"U","LMK1D2104","TopLayer","LMK1D2104","-135.0000","-12.0000","90","Dual 1:4 LVDS buffer"
"U5","410-357-B","TopLayer","QFN18_410-357-B_DGT","-158.2500","6.0000","90","Description"
"U3","TPSM843521RCJR","TopLayer","RCJ0009A-MFG","-103.4000","38.1438","180","3.8V to 18V input, 5A, 200kHz to 2.2MHz synchronous step-down power module 9-QFN-FCMOD -40 to 125"
"U2","TPSM843521RCJR","BottomLayer","RCJ0009A-MFG","-71.1000","1.3938","0","3.8V to 18V input, 5A, 200kHz to 2.2MHz synchronous step-down power module 9-QFN-FCMOD -40 to 125"
"U1","TPSM843521RCJR","BottomLayer","RCJ0009A-MFG","-83.1000","1.3938","0","3.8V to 18V input, 5A, 200kHz to 2.2MHz synchronous step-down power module 9-QFN-FCMOD -40 to 125"
"R571","0","TopLayer","RESC1005X40N","-125.5000","-11.7500","90","Resistor"
"R570","0","TopLayer","RESC0603X28N","-102.8400","11.8751","180","Resistor"
"R569","0","TopLayer","RESC0603X28N","-102.8400","12.5001","180","Resistor"
"R568","0","TopLayer","RESC1005X40N","-119.5950","-20.6250","0","Resistor"
"R567","0","TopLayer","RESC1005X40N","-119.6294","-21.9690","0","Resistor"
"R566","0","BottomLayer","RESC1005X40N","-23.8991","53.1234","290","Resistor"
"R565","0","BottomLayer","RESC1005X40N","-23.8991","51.2749","70","Resistor"
"Q28","FDS6898AZ","BottomLayer","FP-751EB-MFG","-73.8802","-26.2068","90","FDS6898AZ Dual N-Channel Logic Level PWM Optimized PowerTrench® MOSFET 20V, 9.4A, 14mO"
"Q26","FDS6898AZ","BottomLayer","FP-751EB-MFG","-87.4184","-26.3008","90","FDS6898AZ Dual N-Channel Logic Level PWM Optimized PowerTrench® MOSFET 20V, 9.4A, 14mO"
"Q25","FDS6898AZ","BottomLayer","FP-751EB-MFG","-30.8252","-17.6568","90","FDS6898AZ Dual N-Channel Logic Level PWM Optimized PowerTrench® MOSFET 20V, 9.4A, 14mO"
"L7","SRN3015-1R0Y","TopLayer","BOUR-SRN3015-2_V","-143.0000","5.5000","0","Semi-shielded Power Inductor, 1 uH, +/- 30%, 2.35 A, -40 to 125 degC, 3 x 3 x 1.5 mm SMD, RoHS and Halogen Free, Tape and Reel"
"L4","SRN3015-1R0Y","BottomLayer","BOUR-SRN3015-2_V","-57.0000","40.5000","180","Semi-shielded Power Inductor, 1 uH, +/- 30%, 2.35 A, -40 to 125 degC, 3 x 3 x 1.5 mm SMD, RoHS and Halogen Free, Tape and Reel"
"L2","SRN3015-1R0Y","BottomLayer","BOUR-SRN3015-2_V","-77.0000","40.5000","90","Semi-shielded Power Inductor, 1 uH, +/- 30%, 2.35 A, -40 to 125 degC, 3 x 3 x 1.5 mm SMD, RoHS and Halogen Free, Tape and Reel"
"J23","TSM-103-01-L-SH-P-TR","TopLayer","SAMTEC_TSM-103-01-L-SH-P-TR","-132.5000","34.2200","0",""
"J17","FTSH-105-01-F-DV-K-TR","TopLayer","FP-FTSH-105-01-F-DV-K-TR-MFG","-163.8750","90.8750","90","CONN HEADER SMD 10POS 1.27MM"
"J16","U.FL","TopLayer","HIROSE_U.FL-R-SMT-1(10)","-128.5000","-3.2375","180",""
"J14","U.FL","TopLayer","HIROSE_U.FL-R-SMT-1(10)","-128.5000","3.7375","0",""
"J13","U.FL","TopLayer","HIROSE_U.FL-R-SMT-1(10)","-136.0000","-3.2375","180",""
